Unnamed: 0,molecule_chembl_id,smiles,processed smiles,pIC50,Smiles_Length,processed_smiles,is_orally_available
13,CHEMBL17962,N[C@@H](CC1=CNC=N1)C(O)=O,,,25,N[C$H](CC1=CNC=N1)C(O)=O,TRUE
15,CHEMBL1162144,CC(=O)C(O)=O,,,12,CC(=O)C(O)=O,TRUE
16,CHEMBL301523,N[C@@H](CC1=CC=CC=C1)C(O)=O,,,27,N[C$H](CC1=CC=CC=C1)C(O)=O,TRUE
17,CHEMBL857,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,,,48,[H][C@]12CS[C$H](CCCCC(O)=O)[C$]1([H])NC(=O)N2,TRUE
18,CHEMBL920,C[N+](C)(C)CCO,,,14,C[N+](C)(C)CCO,TRUE
19,CHEMBL8085,NCCCC[C@H](N)C(O)=O,,,19,NCCCC[C@H](N)C(O)=O,TRUE
20,CHEMBL1485,N[C@@H](CCCNC(N)=N)C(O)=O,,,25,N[C$H](CCCNC(N)=N)C(O)=O,TRUE
21,CHEMBL196,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,,,36,[H][C$]1(OC(=O)C(O)=C1O)[C$H](O)CO,TRUE
23,CHEMBL274323,N[C@@H](CC(O)=O)C(O)=O,,,22,N[C$H](CC(O)=O)C(O)=O,TRUE
24,CHEMBL446143,NCCC[C@H](N)C(O)=O,,,18,NCCC[C@H](N)C(O)=O,TRUE
25,CHEMBL930,N[C@@H](CCC(N)=O)C(O)=O,,,23,N[C$H](CCC(N)=O)C(O)=O,TRUE
28,CHEMBL11298,N[C@@H](CO)C(O)=O,,,17,N[C$H](CO)C(O)=O,TRUE
29,CHEMBL42336,CSCC[C@H](N)C(O)=O,,,18,CSCC[C@H](N)C(O)=O,TRUE
30,CHEMBL925,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,,,30,N[C$H](CC1=CC=C(O)C=C1)C(O)=O,TRUE
33,CHEMBL590540,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,,,33,N[C$H](CSSC[C@H](N)C(O)=O)C(O)=O,TRUE
34,CHEMBL576,OC(=O)CCC(O)=O,,,14,OC(=O)CCC(O)=O,TRUE
36,CHEMBL4303483,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO,,,49,[H]C(=O)[C@H](NC(C)=O)[C$H](O)[C@H](O)[C@H](O)CO,TRUE
37,CHEMBL575060,N[C@@H](CCC(O)=O)C(O)=O,,,23,N[C$H](CCC(O)=O)C(O)=O,TRUE
40,CHEMBL773,NCC(O)=O,,,8,NCC(O)=O,TRUE
42,CHEMBL102970,CC1=NC=C(CO)C(C=O)=C1O,,,22,CC1=NC=C(CO)C(C=O)=C1O,TRUE
43,CHEMBL283800,CN(CC(O)=O)C(N)=N,,,17,CN(CC(O)=O)C(N)=N,TRUE
44,CHEMBL291962,CC(C)C[C@H](N)C(O)=O,,,20,CC(C)C[C@H](N)C(O)=O,TRUE
45,CHEMBL54976,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,,,33,N[C$H](CC1=CNC2=C1C=CC=C2)C(O)=O,TRUE
46,CHEMBL863,N[C@@H](CS)C(O)=O,,,17,N[C$H](CS)C(O)=O,TRUE
47,CHEMBL1547,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,,,34,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,TRUE
50,CHEMBL444814,N[C@@H](CCCNC(N)=O)C(O)=O,,,25,N[C$H](CCCNC(N)=O)C(O)=O,TRUE
51,CHEMBL291747,C[C@@H](O)[C@H](N)C(O)=O,,,24,C[C$H](O)[C@H](N)C(O)=O,TRUE
55,CHEMBL279597,C[C@H](N)C(O)=O,,,15,C[C@H](N)C(O)=O,TRUE
56,CHEMBL43068,CC(C)[C@H](N)C(O)=O,,,19,CC(C)[C@H](N)C(O)=O,TRUE
59,CHEMBL1364,CC1=C(O)C(CO)=C(CO)C=N1,,,23,CC1=C(O)C(CO)=C(CO)C=N1,TRUE
60,CHEMBL134342,OC(=O)CCCC[C@@H]1CCSS1,,,22,OC(=O)CCCC[C$H]1CCSS1,TRUE
61,CHEMBL1233584,CC[C@H](C)[C@H](N)C(O)=O,,,24,CC[C@H](C)[C@H](N)C(O)=O,TRUE
62,CHEMBL171679,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,,,48,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C$H](N)CC(O)=O,TRUE
64,CHEMBL590,CC1=CC(=O)C2=CC=CC=C2C1=O,,,25,CC1=CC(=O)C2=CC=CC=C2C1=O,TRUE
66,CHEMBL54922,OC(=O)[C@@H]1CCCN1,,,18,OC(=O)[C$H]1CCCN1,TRUE
67,CHEMBL226345,NC1=C2NC=NC2=NC=N1,,,18,NC1=C2NC=NC2=NC=N1,TRUE
68,CHEMBL58832,N[C@@H](CC(N)=O)C(O)=O,,,22,N[C$H](CC(N)=O)C(O)=O,TRUE
69,CHEMBL1144,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,,,92,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C$H]2CC[C$H](O)C[C$H](O)CC(O)=O)OC(=O)[C$H](C)CC,TRUE
70,CHEMBL814,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,,,38,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F,TRUE
71,CHEMBL1069,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O,,,65,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C$H](C(C)C)C(O)=O,TRUE
72,CHEMBL1168,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,,,85,[H][C$]12CCC[C@]1([H])N([C$H](C2)C(O)=O)C(=O)[C@H](C)N[C$H](CCC1=CC=CC=C1)C(=O)OCC,TRUE
73,CHEMBL313972,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,,,53,C[C$H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,TRUE
74,CHEMBL1512,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,,,115,[H][C$]12C[C$]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C$]4([H])[C$H](O)C[C@]3(C)[C$]1(OC(C)(C)O2)C(=O)CO,TRUE
75,CHEMBL701,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,,,27,NCC(CC(O)=O)C1=CC=C(n)C=C1,TRUE
76,CHEMBL405,CC(N)CC1=CC=CC=C1,,,17,CC(N)CC1=CC=CC=C1,TRUE
